iso_week,commit_date,commit_sha,cloc_total,test_cloc,test_count_files,test_count_cases,ui_test_files,ui_test_cases,api_unit_test_files,api_unit_test_cases,api_ai_test_files,api_ai_test_cases,e2e_test_files,e2e_test_cases
2025-W40,2025-10-05,7037a71bb61b58d8503c97088dd00c315fe20013,11401,1109,14,56,0,0,5,20,6,23,3,13
2025-W41,2025-10-12,e424c990a7540484224cc29afb0da3b400e4893f,16648,3990,42,280,5,58,20,116,3,5,14,101
2025-W42,2025-10-19,78c504d32a57aa35aac8bd3de0438176f485a46e,23460,7529,66,506,5,58,39,292,3,5,19,151
2025-W43,2025-10-26,9c58bfca33466ac5c1472132773dfdf28d4a4012,23610,7577,66,506,5,58,39,292,3,5,19,151
2025-W44,2025-11-02,5b7fa0ece299932336e8a90495b7976ec0da0308,25339,8025,66,503,5,58,40,302,3,5,18,138
2025-W45,2025-11-06,cb67499f7cc8c12547645dbf003580fe9ea19d5c,26389,8103,68,514,7,81,40,302,3,5,18,126
2025-W46,2025-11-16,0d7b7e7d0607590ac07d3e5c864197f9a50d3bd2,29979,8401,70,521,7,81,40,305,5,9,18,126
2025-W47,2025-11-23,d2dc23b99ffa92d85604fd15edb0bc6213aae375,33436,8401,70,521,7,81,40,305,5,9,18,126
2025-W48,2025-11-30,fdcc0f76c1c3202af0679148f1ecb4e038fd966b,35219,9431,71,568,7,90,40,320,5,9,19,149
2025-W49,2025-12-07,f77e43c51e82b6411484d46765539be8ba38defc,35010,9511,71,573,7,90,40,320,5,9,19,154
2025-W50,2025-12-14,6bf9838ce4c67aebcf956138ddad84e8e3576bfe,38913,9511,71,573,7,90,40,320,5,9,19,154
2025-W51,2025-12-21,aa2c999dd2616c1eda44f6ef33c6da4be43a33f6,45618,12234,83,692,8,101,48,412,7,19,20,160
2025-W52,2025-12-28,e2fd338d18cd187c46154752c7e75de4274e9545,46426,13207,87,717,8,101,49,428,7,20,23,168
2026-W01,2026-01-04,412b94c9bc471ad110860733160ab36c2426397f,51504,14144,92,744,9,110,52,444,8,22,23,168
2026-W02,2026-01-11,79009ff1947f31242a1b848f1419820f9d01eb11,55344,17131,96,742,9,110,52,444,8,22,27,166
2026-W03,2026-01-18,9c03d6f8c54167b22de8bc4ea56ee2cf23bead0f,61534,20074,104,827,10,116,58,480,8,24,28,207
2026-W04,2026-01-25,d93cc96731e28de709d15a383fe99b85f8027608,61666,19914,103,820,10,116,57,476,8,24,28,204
2026-W05,2026-02-01,4acb1669fc42a622e4929061573d6d4d5054c21e,68868,20783,106,844,10,118,60,492,8,24,28,210
2026-W06,2026-02-08,01da65d33755e2ed4d44dbd1aaf6f4abab6ad8e9,73510,23285,112,898,11,136,62,511,9,26,30,225
2026-W07,2026-02-15,b9005ad469c656d39671ba32183a30d71677412e,84959,24772,118,908,13,144,66,541,9,26,30,197
2026-W08,2026-02-20,e16f5b07bc78a8b72191d70a2466e6ac2744fd34,94303,26375,127,954,19,171,68,557,9,26,31,200
